specId,testId,state,code,severity,respTime,url,method,ic,numValid,numInvalid,hasPayload,hasDate,hasDateTime,hasInt32,hasInt64,hasFloat,hasDouble,hasEmpty,hasRange,hasSymbol,hasGreater,hasLower,hasBTrue,hasBFalse,hasSRange,hasLang
1,36,success,403,0,5,http://host.docker.internal:11178/dump.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,success,403,0,6,http://host.docker.internal:11178/env,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,success,403,0,5,http://host.docker.internal:11178/env.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,success,403,0,6,http://host.docker.internal:11178/env/{name},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,40,success,403,0,7,http://host.docker.internal:11178/env/{name},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,41,failed,500,2,4,http://host.docker.internal:11178/error,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,failed,500,2,3,http://host.docker.internal:11178/error,PUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,failed,500,2,4,http://host.docker.internal:11178/error,POST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,failed,500,2,5,http://host.docker.internal:11178/error,DELETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,failed,500,2,169,http://host.docker.internal:11178/error,PATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,failed,500,2,6,http://host.docker.internal:11178/error,HEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,success,200,0,5,http://host.docker.internal:11178/error,OPTIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,success,200,0,3,http://host.docker.internal:11178/health,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,success,200,0,5,http://host.docker.internal:11178/health.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,success,403,0,6,http://host.docker.internal:11178/heapdump?live={live},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,51,success,403,0,5,http://host.docker.internal:11178/heapdump?live={live},GET,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,52,success,403,0,5,http://host.docker.internal:11178/heapdump.json?live={live},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,53,success,403,0,4,http://host.docker.internal:11178/heapdump.json?live={live},GET,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,54,success,200,0,4,http://host.docker.internal:11178/info,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,success,200,0,2,http://host.docker.internal:11178/info.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56,success,403,0,3,http://host.docker.internal:11178/loggers,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,success,403,0,4,http://host.docker.internal:11178/loggers.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,58,success,403,0,4,http://host.docker.internal:11178/loggers/{name},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,59,success,403,0,4,http://host.docker.internal:11178/loggers/{name},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,60,success,403,0,4,http://host.docker.internal:11178/loggers/{name},POST,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,61,failed,405,1,4,http://host.docker.internal:11178/loggers/{name},POST,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,62,success,403,0,5,http://host.docker.internal:11178/mappings,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,63,success,403,0,4,http://host.docker.internal:11178/mappings.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,success,403,0,5,http://host.docker.internal:11178/metrics,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65,success,403,0,4,http://host.docker.internal:11178/metrics.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,66,success,403,0,4,http://host.docker.internal:11178/metrics/{name},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,67,success,403,0,4,http://host.docker.internal:11178/metrics/{name},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,68,success,403,0,4,http://host.docker.internal:11178/trace,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,69,success,403,0,4,http://host.docker.internal:11178/trace.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,70,success,200,0,7,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,71,failed,400,1,4,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,72,failed,400,1,5,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,73,success,200,0,5,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,74,success,200,0,4,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,75,failed,400,1,4,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,76,failed,400,1,6,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,77,success,200,0,5,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,PUT,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,78,failed,400,1,4,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,79,success,200,0,7,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,80,success,200,0,6,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,81,success,200,0,5,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,82,failed,400,1,5,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,83,failed,400,1,4,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,84,success,200,0,7,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs,POST,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
