dataset,aux_var,budget,RMSE_top1,RMSE_top2,RMSE_top3,RMedSE_top1,RMedSE_top2,RMedSE_top3,failures_top1,failures_top2,failures_top3,TRMSE-nf_top1,TRMSE-nf_top2,TRMSE-nf_top3,TRMedSE-nf_top1,TRMedSE-nf_top2,TRMedSE-nf_top3
imdb300AuxDS,Similarity_Score,800,2-UPS,SSRS,SRS,2-UPS,SSRS,SRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdbAuxDS,Confidence_Score,50,GBS,SRS,2-UPS,GBS,SRS,2-UPS,RHC-S,GBS,SRS,GBS,SRS,RHC-S,GBS,SRS,RHC-S
imdbAuxDS,Confidence_Score,100,2-UPS,GBS,SUPS,2-UPS,GBS,SRS,RHC-S,2-UPS,GBS,2-UPS,GBS,RHC-S,2-UPS,GBS,RHC-S
imdbAuxDS,Confidence_Score,200,GBS,SRS,RHC-S,GBS,SRS,RHC-S,RHC-S,SRS,GBS,SRS,GBS,RHC-S,SRS,GBS,RHC-S
imdbAuxDS,Confidence_Score,400,SRS,GBS,2-UPS,SRS,GBS,2-UPS,RHC-S,2-UPS,GBS,SRS,GBS,2-UPS,SRS,RHC-S,GBS
imdbAuxDS,Confidence_Score,800,GBS,2-UPS,SRS,GBS,2-UPS,RHC-S,RHC-S,SRS,GBS,GBS,2-UPS,SRS,GBS,2-UPS,RHC-S
imdbAuxDS,DSA,50,RHC-S,DeepEST,SRS,RHC-S,DeepEST,GBS,SUPS,GBS,SRS,SUPS,SRS,GBS,GBS,SRS,DeepEST
imdbAuxDS,DSA,100,RHC-S,SRS,GBS,RHC-S,SRS,DeepEST,SUPS,GBS,DeepEST,SUPS,GBS,DeepEST,SUPS,RHC-S,GBS
imdbAuxDS,DSA,200,RHC-S,GBS,SRS,RHC-S,DeepEST,GBS,SUPS,GBS,DeepEST,SUPS,GBS,SRS,SUPS,DeepEST,GBS
imdbAuxDS,DSA,400,RHC-S,SRS,DeepEST,SRS,RHC-S,GBS,SUPS,SRS,GBS,SRS,SUPS,DeepEST,SRS,GBS,SUPS
imdbAuxDS,DSA,800,RHC-S,SRS,DeepEST,RHC-S,SRS,DeepEST,SUPS,SRS,DeepEST,SRS,DeepEST,SUPS,SRS,RHC-S,DeepEST
imdbAuxDS,Prediction_Entropy,50,SRS,SUPS,GBS,SRS,SUPS,RHC-S,2-UPS,SRS,GBS,2-UPS,SRS,GBS,2-UPS,SRS,GBS
imdbAuxDS,Prediction_Entropy,100,GBS,RHC-S,SRS,GBS,SRS,SUPS,2-UPS,SRS,GBS,GBS,2-UPS,SRS,SRS,GBS,2-UPS
imdbAuxDS,Prediction_Entropy,200,GBS,RHC-S,SRS,GBS,RHC-S,SRS,2-UPS,GBS,SRS,GBS,SRS,2-UPS,GBS,SRS,2-UPS
imdbAuxDS,Prediction_Entropy,400,GBS,SRS,SUPS,RHC-S,SRS,GBS,2-UPS,SRS,GBS,GBS,SRS,2-UPS,SRS,GBS,2-UPS
imdbAuxDS,Prediction_Entropy,800,GBS,SRS,SUPS,GBS,SRS,RHC-S,2-UPS,SRS,GBS,GBS,SRS,2-UPS,GBS,SRS,RHC-S
imdbAuxDS,LSA,50,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,SUPS
imdbAuxDS,LSA,100,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS
imdbAuxDS,LSA,200,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS
imdbAuxDS,LSA,400,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,2-UPS,RHC-S,SRS,2-UPS,RHC-S,SUPS,2-UPS,RHC-S,SUPS
imdbAuxDS,LSA,800,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,SUPS,2-UPS,RHC-S,SRS
imdbAuxDS,Similarity_Score,50,2-UPS,GBS,SRS,GBS,2-UPS,SSRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdbAuxDS,Similarity_Score,100,GBS,2-UPS,SRS,GBS,SRS,2-UPS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdbAuxDS,Similarity_Score,200,GBS,2-UPS,SSRS,SRS,SSRS,2-UPS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
