method,dataset,budget,Best_RMSE,Best_RMedSE,Best_failures_mean,Best_TRMSE-nf,Best_TRMedSE-nf
DeepEST,imdb300AuxDS,800,LSA,LSA,Similarity_Score,Similarity_Score,Similarity_Score
DeepEST,imdbAuxDS,800,LSA,LSA,Similarity_Score,Similarity_Score,Similarity_Score
DeepEST,SSTtestAuxDS,800,LSA,LSA,Similarity_Score,Similarity_Score,Similarity_Score
GBS,imdb300AuxDS,800,Prediction_Entropy,Prediction_Entropy,LSA,Prediction_Entropy,Prediction_Entropy
GBS,imdbAuxDS,800,Confidence_Score,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score
GBS,SSTtestAuxDS,800,DSA,DSA,LSA,DSA,DSA
RHC-S,imdb300AuxDS,800,DSA,DSA,Similarity_Score,Confidence_Score,Confidence_Score
RHC-S,imdbAuxDS,800,DSA,DSA,Similarity_Score,Confidence_Score,Confidence_Score
RHC-S,SSTtestAuxDS,800,DSA,DSA,Similarity_Score,Confidence_Score,Confidence_Score
SSRS,imdb300AuxDS,800,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score
SSRS,imdbAuxDS,800,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score
SSRS,SSTtestAuxDS,800,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score,Similarity_Score
SUPS,imdb300AuxDS,800,LSA,LSA,Similarity_Score,DSA,DSA
SUPS,imdbAuxDS,800,LSA,LSA,Similarity_Score,DSA,DSA
SUPS,SSTtestAuxDS,800,LSA,LSA,Similarity_Score,DSA,DSA
SRS,imdb300AuxDS,800,Prediction_Entropy,Prediction_Entropy,Similarity_Score,Prediction_Entropy,Prediction_Entropy
SRS,imdbAuxDS,800,DSA,DSA,Confidence_Score,Prediction_Entropy,Prediction_Entropy
SRS,SSTtestAuxDS,800,Confidence_Score,LSA,Confidence_Score,Confidence_Score,DSA
2-UPS,imdb300AuxDS,800,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
2-UPS,imdbAuxDS,800,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
2-UPS,SSTtestAuxDS,800,Similarity_Score,Similarity_Score,LSA,Similarity_Score,Similarity_Score
