method,dataset,budget,Top1_RMSE,Top2_RMSE,Top1_RMedSE,Top2_RMedSE,Top1_failures_mean,Top2_failures_mean,Top1_TRMSE-nf,Top2_TRMSE-nf,Top1_TRMedSE-nf,Top2_TRMedSE-nf
SSRS,imdbAuxDS,100,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,SSTtestAuxDS,100,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SUPS,imdb300AuxDS,100,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
SUPS,imdbAuxDS,100,LSA,Confidence_Score,LSA,Confidence_Score,Similarity_Score,DSA,DSA,Confidence_Score,DSA,Prediction_Entropy
SUPS,SSTtestAuxDS,100,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
SRS,imdb300AuxDS,100,LSA,Confidence_Score,LSA,DSA,Prediction_Entropy,Similarity_Score,LSA,Similarity_Score,LSA,Prediction_Entropy
SRS,imdbAuxDS,100,DSA,Prediction_Entropy,DSA,Similarity_Score,Prediction_Entropy,Confidence_Score,Prediction_Entropy,DSA,Prediction_Entropy,DSA
SRS,SSTtestAuxDS,100,DSA,Similarity_Score,Confidence_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score,Confidence_Score,DSA
2-UPS,imdb300AuxDS,100,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score
2-UPS,imdbAuxDS,100,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score
2-UPS,SSTtestAuxDS,100,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
DeepEST,imdb300AuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,Similarity_Score,DSA
DeepEST,imdbAuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,Similarity_Score,DSA
DeepEST,SSTtestAuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
GBS,imdb300AuxDS,200,Confidence_Score,DSA,Confidence_Score,Prediction_Entropy,LSA,DSA,Confidence_Score,DSA,Confidence_Score,Prediction_Entropy
GBS,imdbAuxDS,200,Confidence_Score,Prediction_Entropy,Confidence_Score,DSA,DSA,LSA,Confidence_Score,Prediction_Entropy,Confidence_Score,DSA
GBS,SSTtestAuxDS,200,Prediction_Entropy,DSA,Prediction_Entropy,DSA,LSA,DSA,DSA,Prediction_Entropy,Prediction_Entropy,DSA
