dataset,aux_var,budget,RMSE_top1,RMSE_top2,RMSE_top3,RMedSE_top1,RMedSE_top2,RMedSE_top3,failures_top1,failures_top2,failures_top3,TRMSE-nf_top1,TRMSE-nf_top2,TRMSE-nf_top3,TRMedSE-nf_top1,TRMedSE-nf_top2,TRMedSE-nf_top3
imdbAuxDS,Confidence_Score,100,2-UPS,GBS,SUPS,2-UPS,GBS,SRS,SUPS,SSRS,DeepEST,SUPS,DeepEST,2-UPS,SUPS,2-UPS,DeepEST
imdbAuxDS,Confidence_Score,200,GBS,SRS,RHC-S,GBS,SRS,RHC-S,SSRS,SUPS,DeepEST,SUPS,DeepEST,GBS,SUPS,GBS,SRS
imdbAuxDS,Confidence_Score,400,SRS,GBS,2-UPS,SRS,GBS,2-UPS,SUPS,SSRS,DeepEST,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdbAuxDS,Confidence_Score,800,GBS,2-UPS,SRS,GBS,2-UPS,RHC-S,SUPS,SSRS,DeepEST,DeepEST,GBS,2-UPS,SUPS,DeepEST,GBS
imdbAuxDS,DSA,50,RHC-S,DeepEST,SRS,RHC-S,DeepEST,GBS,SSRS,RHC-S,2-UPS,RHC-S,DeepEST,SRS,RHC-S,DeepEST,SRS
imdbAuxDS,DSA,100,RHC-S,SRS,GBS,RHC-S,SRS,DeepEST,SSRS,RHC-S,2-UPS,RHC-S,SRS,GBS,RHC-S,SRS,DeepEST
imdbAuxDS,DSA,200,RHC-S,GBS,SRS,RHC-S,DeepEST,GBS,SSRS,RHC-S,2-UPS,RHC-S,GBS,SRS,RHC-S,DeepEST,GBS
imdbAuxDS,DSA,400,RHC-S,SRS,DeepEST,SRS,RHC-S,GBS,SSRS,RHC-S,2-UPS,RHC-S,SRS,DeepEST,RHC-S,SRS,GBS
imdbAuxDS,DSA,800,RHC-S,SRS,DeepEST,RHC-S,SRS,DeepEST,SSRS,RHC-S,2-UPS,RHC-S,SRS,DeepEST,RHC-S,SRS,DeepEST
imdbAuxDS,Prediction_Entropy,50,SRS,SUPS,GBS,SRS,SUPS,RHC-S,SSRS,DeepEST,RHC-S,SUPS,RHC-S,DeepEST,SUPS,RHC-S,DeepEST
imdbAuxDS,Prediction_Entropy,100,GBS,RHC-S,SRS,GBS,SRS,SUPS,DeepEST,SSRS,RHC-S,RHC-S,SUPS,DeepEST,SUPS,RHC-S,DeepEST
imdbAuxDS,Prediction_Entropy,200,GBS,RHC-S,SRS,GBS,RHC-S,SRS,DeepEST,SUPS,RHC-S,RHC-S,SUPS,DeepEST,RHC-S,DeepEST,SUPS
imdbAuxDS,Prediction_Entropy,400,GBS,SRS,SUPS,RHC-S,SRS,GBS,DeepEST,SSRS,RHC-S,SUPS,DeepEST,RHC-S,RHC-S,DeepEST,SUPS
imdbAuxDS,Prediction_Entropy,800,GBS,SRS,SUPS,GBS,SRS,RHC-S,DeepEST,SSRS,SUPS,SUPS,RHC-S,DeepEST,RHC-S,SUPS,DeepEST
imdbAuxDS,LSA,50,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,SUPS,DeepEST,SSRS,SUPS,DeepEST,GBS,SUPS,DeepEST,SRS
imdbAuxDS,LSA,100,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,SUPS,DeepEST,SSRS,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS
imdbAuxDS,LSA,200,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,SUPS,DeepEST,SSRS,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS
imdbAuxDS,LSA,400,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS,SUPS,DeepEST,SSRS,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS
imdbAuxDS,LSA,800,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SSRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
imdbAuxDS,Similarity_Score,50,2-UPS,GBS,SRS,GBS,2-UPS,SSRS,2-UPS,SSRS,GBS,2-UPS,GBS,SRS,2-UPS,SSRS,GBS
imdbAuxDS,Similarity_Score,100,GBS,2-UPS,SRS,GBS,SRS,2-UPS,SRS,SSRS,GBS,GBS,SRS,2-UPS,SRS,GBS,2-UPS
imdbAuxDS,Similarity_Score,200,GBS,2-UPS,SSRS,SRS,SSRS,2-UPS,SSRS,GBS,2-UPS,GBS,2-UPS,SSRS,SRS,SSRS,2-UPS
imdbAuxDS,Similarity_Score,400,SRS,SSRS,2-UPS,SSRS,SRS,GBS,2-UPS,SRS,SSRS,SRS,SSRS,2-UPS,SSRS,SRS,GBS
imdbAuxDS,Similarity_Score,800,2-UPS,SSRS,SRS,2-UPS,GBS,SSRS,SSRS,SRS,2-UPS,2-UPS,SSRS,SRS,2-UPS,SSRS,GBS
SSTtestAuxDS,Confidence_Score,50,SRS,RHC-S,2-UPS,RHC-S,SUPS,2-UPS,DeepEST,SUPS,SSRS,SUPS,DeepEST,GBS,SUPS,DeepEST,GBS
SSTtestAuxDS,Confidence_Score,100,SRS,GBS,RHC-S,SRS,GBS,RHC-S,SUPS,SSRS,DeepEST,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
SSTtestAuxDS,Confidence_Score,200,2-UPS,RHC-S,SRS,RHC-S,GBS,SRS,SUPS,SSRS,DeepEST,SUPS,DeepEST,2-UPS,SUPS,DeepEST,GBS
SSTtestAuxDS,Confidence_Score,400,DeepEST,RHC-S,GBS,SRS,RHC-S,GBS,SUPS,SSRS,DeepEST,DeepEST,SUPS,GBS,SUPS,DeepEST,SRS
SSTtestAuxDS,Confidence_Score,800,DeepEST,GBS,SRS,RHC-S,SRS,DeepEST,SUPS,DeepEST,SSRS,SUPS,DeepEST,GBS,SUPS,DeepEST,RHC-S
SSTtestAuxDS,DSA,50,RHC-S,DeepEST,SRS,RHC-S,DeepEST,GBS,SSRS,RHC-S,2-UPS,RHC-S,DeepEST,SRS,RHC-S,DeepEST,SRS
SSTtestAuxDS,DSA,100,RHC-S,DeepEST,SRS,DeepEST,RHC-S,GBS,SSRS,RHC-S,2-UPS,RHC-S,DeepEST,SRS,RHC-S,DeepEST,GBS
SSTtestAuxDS,DSA,200,RHC-S,DeepEST,GBS,RHC-S,DeepEST,GBS,SSRS,RHC-S,2-UPS,RHC-S,DeepEST,GBS,RHC-S,DeepEST,GBS
SSTtestAuxDS,DSA,400,RHC-S,GBS,SRS,RHC-S,GBS,SRS,SSRS,RHC-S,2-UPS,RHC-S,GBS,SRS,RHC-S,GBS,SRS
SSTtestAuxDS,DSA,800,RHC-S,DeepEST,GBS,RHC-S,GBS,DeepEST,SSRS,2-UPS,RHC-S,RHC-S,DeepEST,GBS,RHC-S,GBS,DeepEST
SSTtestAuxDS,Prediction_Entropy,50,SUPS,RHC-S,GBS,SRS,SUPS,RHC-S,DeepEST,SSRS,SUPS,SUPS,RHC-S,DeepEST,SUPS,RHC-S,DeepEST
SSTtestAuxDS,Prediction_Entropy,100,SRS,GBS,SUPS,RHC-S,SRS,SUPS,SUPS,SSRS,DeepEST,SUPS,RHC-S,DeepEST,RHC-S,SUPS,DeepEST
SSTtestAuxDS,Prediction_Entropy,200,GBS,SRS,RHC-S,GBS,SRS,RHC-S,SSRS,SUPS,RHC-S,SUPS,RHC-S,DeepEST,SUPS,RHC-S,GBS
SSTtestAuxDS,Prediction_Entropy,400,GBS,SRS,DeepEST,SUPS,GBS,DeepEST,SUPS,RHC-S,SSRS,SUPS,RHC-S,DeepEST,SUPS,RHC-S,DeepEST
SSTtestAuxDS,Prediction_Entropy,800,GBS,DeepEST,RHC-S,RHC-S,GBS,DeepEST,SUPS,RHC-S,SSRS,SUPS,RHC-S,DeepEST,SUPS,RHC-S,DeepEST
SSTtestAuxDS,LSA,50,SUPS,DeepEST,SRS,DeepEST,SUPS,SRS,SUPS,DeepEST,SSRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
SSTtestAuxDS,LSA,100,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SSRS,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS
SSTtestAuxDS,LSA,200,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS,SUPS,DeepEST,SSRS,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS
SSTtestAuxDS,LSA,400,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS,SUPS,DeepEST,SSRS,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS
SSTtestAuxDS,LSA,800,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS,SUPS,DeepEST,SSRS,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS
SSTtestAuxDS,Similarity_Score,50,SSRS,2-UPS,SRS,2-UPS,SRS,SSRS,GBS,SSRS,2-UPS,SSRS,2-UPS,SRS,2-UPS,SRS,SSRS
SSTtestAuxDS,Similarity_Score,100,SSRS,SRS,2-UPS,SSRS,SRS,2-UPS,GBS,2-UPS,SRS,SSRS,SRS,2-UPS,SRS,SSRS,2-UPS
SSTtestAuxDS,Similarity_Score,200,2-UPS,SRS,SSRS,2-UPS,SSRS,SRS,GBS,SRS,SSRS,SRS,2-UPS,SSRS,2-UPS,SRS,SSRS
SSTtestAuxDS,Similarity_Score,400,SRS,2-UPS,SSRS,SRS,2-UPS,SSRS,GBS,SSRS,SRS,SRS,2-UPS,SSRS,SRS,2-UPS,SSRS
SSTtestAuxDS,Similarity_Score,800,SSRS,SRS,2-UPS,SSRS,2-UPS,SRS,GBS,2-UPS,SSRS,SSRS,SRS,2-UPS,SSRS,2-UPS,SRS
